x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101
1.163005280384319,1.9045408205989878,1.6419982119673215,1.4381463704185606,1.271086781021829,1.1303620085280397,1.009784115550005,0.9052525077622724,0.8138504451616054,0.7334003580337206,0.6622185269016005,0.5989682100186575,0.542566102117845,0.4921197983799931,0.44688431965656994,0.4062309006978686,0.36962397092718946,0.3366037853755522,0.306773060030121,0.27978651291966666,0.2553425575743083,0.2331766200496293,0.21305570042651686,0.1947739020292911,0.17814872290524095,0.1630179546715694,0.14923707043042345,0.1366770102272241,0.12522229247292868,0.11476939471283297,0.10522535858835692,0.09650658263794329,0.08853777341241127,0.08125103077967634,0.0745850475445436,0.06848440691079,0.06289896406512875,0.057783300357626646,0.05309624038054676,0.04880042373379477,0.04486192448042915,0.041249912321798136,0.037936350368593025,0.034895725102927266,0.032104804714850076,0.02954242251328404,0.027189282543858745,0.02502778490666314,0.023041868587131434,0.021216869882027114,0.01953939473471129,0.01799720349806938,0.01657910681283825,0.01527487144472705,0.014075135056071664,0.012971329000059675,0.011955608329048515,0.011020788296928081,0.010160286711979778,0.009368071568461814,0.008638613441966835,0.007966842189886403,0.007348107545888816,0.006778143237987651,0.006253034298440675,0.005769187266480356,0.005323303015841344,0.004912351963656828,0.004533551442448774,0.0041843450383370825,0.0038623837165893834,0.0035655085733758,0.0032917350679170744,0.00303923860263142,0.0028063413319462894,0.0025915000906832518,0.0023932953435970724,0.0022104210669012777,0.002041675480103373,0.001885952554437968,0.0017422342307190882,0.0016095832852950995,0.0014871367887473717,0.0013741001063190042,0.0012697413939565668,0.0011733865480134471,0.0010844145699840282,0.001002253311364161,0.0009263755665296578,0.0008562954845918037,0.0007915652733807929,0.000731772171240334,0.0006765356644150759,0.0006255049295599866,0.0005783564828005942,0.0005347920182601943,0.0004945364204503639,0.00045733593629381983,0.0004229564936239814,0.00039118215420336986,0.00018090684516492027
1.1630052803843771,1.9296450968702819,1.6794606762176,1.4835072538004368,1.3216693673447317,1.184345416792157,1.0658538927429073,0.9624281569868216,0.8713866649420902,0.7907248389804461,0.7188900962348416,0.6546472755620898,0.5969930077443409,0.5450985211390741,0.4982699158482856,0.455919667161748,0.41754562449827964,0.38271517511672537,0.3510530648613934,0.32223187011667354,0.2959644318035201,0.2719977680749942,0.2501081194981133,0.23009687419956293,0.21178718568585875,0.19502114225770734,0.17965738037835438,0.16556905878828937,0.15264212835615937,0.14077384627764142,0.12987149367943135,0.11985126369026368,0.1106372932393713,0.1021608167518519,0.0943594237633531,0.08717640555835406,0.08056017843369698,0.07446377316679956,0.06884438192550434,0.06366295520007899,0.05888384243019955,0.05447447092881181,0.05040505846664324,0.04664835553187304,0.043179413804592434,0.039975377854317665,0.03701529745910244,0.0342799582661478,0.03175172880454559,0.029414422102101552,0.027253170366986903,0.025254311380497496,0.023405285397365503,0.021694541492333182,0.02011145241151008,0.01864623708678793,0.01728989006648444,0.016034117195250802,0.01487127694495276,0.013794326864911215,0.01279677466957644,0.011872633534259783,0.011016381213091618,0.01022292262959753,0.009487555626396199,0.008805939590181245,0.0081740666973455,0.007588235547164065,0.007045026973458259,0.00654128184564291,0.006074080686107925,0.005640724947844184,0.005238719810497342,0.0048657583653956855,0.004519707072789149,0.004198592383598886,0.0039005884284413987,0.0036240056856042344,0.003367280546313853,0.0031289657036033423,0.0029077212972443466,0.002702306752722884,0.002511573258296776,0.0023344568279725243,0.002169971903249019,0.0020172054506152537,0.0018753115147675632,0.0017435061914201054,0.001621062986168583,0.0015073085291047927,0.001401618616823259,0.0013034145561483057,0.0012121597860333877,0.0011273567557157176,0.0010485440392519073,0.0009752936680046395,0.0009072086641775403,0.0008439207599532729,0.0007850882877932467,0.0007303942287702484,0.0003397722034480041
1.1630052803844275,1.9523386963915683,1.7136300138293687,1.5251974063629232,1.3684875594871564,1.2346480529750916,1.1184413235443582,1.0163942318706216,0.926032720784859,0.8455055794045416,0.773377185946063,0.7085036215624406,0.6499539018661518,0.5969574076410455,0.5488674007746003,0.5051348734851651,0.4652892901125373,0.4289240746471265,0.3956854559556863,0.36526374524808997,0.33738641207138254,0.31181251468478655,0.28832816688581364,0.2667428095737854,0.24688611533201887,0.22860539676572242,0.21176342006091636,0.19623654765151724,0.181913150583212,0.16869224363754787,0.15648230585713518,0.1452002564412223,0.1347705616417832,0.1251244527840476,0.11619923905074267,0.10793770148029586,0.10028755691188979,0.09320098240303172,0.08663419216012769,0.08054706024601324,0.07490278331571822,0.06966757847955612,0.06481041208225079,0.06030275578059881,0.05611836677261563,0.05223308945963595,0.04862467617747965,0.045272624919833485,0.042158032243094216,0.03926345975946009,0.03657281281352968,0.034071230107477084,0.03174498317263682,0.02958138471632149,0.027568704981654278,0.02569609534633837,0.02395351847391082,0.022331684403133045,0.020821992022634885,0.0194164754403429,0.01810775479987636,0.016888991145488214,0.015753844977015215,0.014696438168032188,0.013711318954309326,0.012793429726213874,0.011938077386380206,0.011140906052234025,0.010397871905989408,0.00970522001335175,0.00905946294601795,0.00845736105932809,0.00789590428955533,0.007372295346503919,0.00688393418946158,0.006428403682160068,0.006003456332682343,0.005607002032800855,0.005237096716814554,0.004891931867956843,0.004569824806102486,0.004269209695542899,0.0039886292177845,0.0037267268573458506,0.003482239753660611,0.0032539920762710414,0.003040888882941512,0.0028419104244401133,0.0026561068619750305,0.0024825933667002214,0.002320545572232506,0.002169195353972545,0.0020278269111331415,0.00189577312877091,0.0017724121993138878,0.0016571644844020747,0.0015494895993904783,0.0014488837043989983,0.00135487698662609,0.0012670313200746895,0.0005924690449883205
1.1630052803844786,1.9752697671352648,1.7484532429220168,1.5679930918042047,1.4168678778227881,1.286958532947541,1.1734625356189392,1.0731949037503783,0.9838858999539797,0.9038359431048826,0.8317256207666025,0.7665022021489495,0.7073075341302375,0.6534299567669881,0.6042709580377131,0.5593212916632833,0.5181434029909179,0.48035819515955447,0.44563486385003065,0.41368295315359355,0.3842460525594587,0.3570967288133556,0.3320324020103481,0.30887195425157027,0.2874529141170873,0.2676290990321269,0.24926862571617955,0.2322522193882974,0.21647176766611304,0.20182907646819115,0.18823479397629855,0.17560747539644536,0.16387276640367152,0.15296268725485385,0.14281500274757902,0.1333726657564978,0.12458332415861645,0.11639888257486641,0.10877511173598872,0.10167129939117722,0.09504993756471058,0.08887644173780371,0.08311889815368917,0.077747835984816,0.07273602151851002,0.06805827190880254,0.06369128636342256,0.05961349288841759,0.05580490895630456,0.052247014658354504,0.048922637070534285,0.04581584471800205,0.04291185113823361,0.04019692666356239,0.037658317642646884,0.03528417239656407,0.03306347328628874,0.03098597433271653,0.02904214388457695,0.027223111888303706,0.025520621348900048,0.02392698361749535,0.022435037177651874,0.02103810962921801,0.019729982600507012,0.018504859342723178,0.017357334786990492,0.01628236785870919,0.01527525586624364,0.014331610798224738,0.013447337374946014,0.012618612715047387,0.011841867490519678,0.011113768452866173,0.010431202225460661,0.009791260262845599,0.009191224887927976,0.00862855632622215,0.008100880660400813,0.007605978636592471,0.007141775258866047,0.006706330112753516,0.006297828365096677,0.005914572389393253,0.005554973971157684,0.005217547051833477,0.0049009009714230545,0.004603734174448139,0.004324828345556951,0.004063042944810949,0.0038173101135452726,0.0035866299247817976,0.003370065954259352,0.0031667411491220613,0.002975833973727022,0.0027965748131407887,0.002628242616396947,0.002470161763226791,0.0023216991384893584,0.002182261400120286,0.0010256462138041361
1.163005280384515,1.992767824632255,1.775228387128991,1.6011077032484509,1.4545226057159646,1.3278975892804523,1.2167528407007775,1.118117409217155,1.0298736466271288,0.9504351797924573,0.8785696879466286,0.8132930900653476,0.753802351441952,0.6994306986004966,0.6496165799198381,0.6038814479608561,0.5618134197476985,0.523054979453595,0.4872935376147456,0.4542540568546643,0.42369320362971186,0.3953946475824376,0.3691652378789146,0.3448318595333227,0.3222388239149578,0.3012456837893796,0.2817253894395923,0.26356272147683585,0.2466529501645471,0.23090068164467037,0.2162188595977353,0.20252789708072136,0.1897549180575508,0.1778330919510861,0.1667010475060643,0.15630235461919673,0.14658506472726066,0.1375013018310571,0.12900689751789987,0.12106106437481264,0.11362610299805885,0.10666713852296918,0.10015188316891345,0.0940504217979318,0.08833501786392084,0.08297993749461309,0.07796128974630998,0.07325688129983457,0.06884608409397601,0.06470971457080041,0.060829923361916165,0.05719009439028367,0.053774752463872075,0.05056947855122391,0.04756083202055265,0.04473627919087306,0.04208412762041367,0.03959346561622545,0.03725410649759181,0.035056537202326966,0.032991870853720996,0.03105180295090585,0.0292285708793173,0.027514916460508673,0.025904051291435595,0.024389624643717692,0.022965693719181723,0.021626696068957105,0.020367424005358337,0.019183000852164088,0.01806885888771447,0.017020718850752323,0.016034570889710262,0.015106656844782136,0.014233453764377037,0.013411658561455304,0.012638173725556338,0.011910094014317444,0.011224694050959617,0.010579416762695052,0.009971862599416332,0.009399779475852292,0.008861053387153045,0.00835369964859893,0.007875854715739922,0.0074257685452930045,0.007001797457891542,0.006602397468617866,0.006226118052393813,0.0058715963153594,0.00553755154350409,0.005222780103167024,0.0049261506701016875,0.004646599764299986,0.004383127570448628,0.00413479402475743,0.003900715150355797,0.0036800596252199325,0.003472045566726863,0.0032759375187032254,0.0015455218140420462
1.163005280384559,2.013584782916134,1.8073130367907393,1.6410272904077772,1.5001648061216253,1.3777786552319988,1.2697623976225325,1.1733929565281416,1.0867291079124108,1.0083161115507635,0.9370232224155393,0.8719467233026895,0.81234838297198,0.7576144628520548,0.7072273239431558,0.6607451168865351,0.6177868554090045,0.5780211901431329,0.5411577958492405,0.5069406481520825,0.475142694727434,0.44556157448578987,0.4180161370757607,0.39234358251137436,0.3683970876303154,0.34604381918004506,0.32516325732361223,0.3056457707926922,0.2873913979288604,0.2703087974965651,0.25431434060431846,0.2393313207488501,0.22528926333921373,0.21212331954896843,0.19977373204022147,0.18818536225846266,0.177307270768341,0.16709234344047952,0.15749695747692882,0.14848068220188157,0.1400060102737882,0.13203811563410933,0.12454463502214046,0.11749547034829406,0.11086260955137583,0.1046199639024143,0.09874321998945114,0.09320970481704632,0.08799826266544668,0.08308914251362613,0.07846389496900923,0.07410527778188829,0.06999716910804588,0.06612448778973677,0.06247312000906619,0.05902985172327785,0.05578230636404564,0.05271888733488796,0.04982872488306542,0.04710162697695795,0.044528033840500046,0.042098975839956095,0.039806034449666856,0.03764130604055075,0.03559736826522501,0.03366724883051521,0.03184439647367945,0.030122653964996807,0.028496232981379068,0.026959690711190816,0.02550790805594951,0.02413606931019294,0.022839643210237945,0.02161436524967765,0.020456221172125436,0.01936143155297533,0.018326437392641753,0.017347886651642712,0.016422621658414197,0.01554766732988158,0.014720220148392332,0.01393763784161944,0.013197429719498619,0.012497247621193178,0.011834877431218402,0.01120823112798083,0.01061533932737279,0.01005434428961088,0.009523493357772486,0.009021132801157239,0.008545702035540557,0.008095728196217084,0.007669821041853515,0.007266668166855457,0.006885030503100644,0.006523738092364774,0.006181686112141029,0.005857831139570564,0.005551187637663036,0.00526082465007697,0.0024929313460475126
1.1630052803845863,2.027419310702172,1.8287761005644858,1.6678759667341907,1.5310136683514644,1.411649186548973,1.305917821176994,1.211257098858091,1.1258402390775621,1.0482980426618975,0.977565930120806,0.9127926858856374,0.8532825611513106,0.79845672278535,0.7478265624592539,0.7009746123707117,0.6575405255608755,0.6172105364251225,0.5797093783137616,0.5447939770021291,0.512248454242888,0.4818801155258991,0.4535161891247666,0.4270011470260849,0.4021944824756881,0.37896884998992564,0.357208496260415,0.3368079267694827,0.3176707651769141,0.29970877158793224,0.28284099282442254,0.2669930231582714,0.25209635803298397,0.23808782658558852,0.22490909130743317,0.21250620520267974,0.20082921847142599,0.18983182798986575,0.17947106396997478,0.16970700906337322,0.16050254584947402,0.15182312927043415,0.14363658105339022,0.13591290359846012,0.12862411111466449,0.1217440761056928,0.11524838956339356,0.10911423340702708,0.10332026390770979,0.09784650498472565,0.09267425038871482,0.08778597391604263,0.08316524687316017,0.0787966621124308,0.07466576404024045,0.07075898404582803,0.06706358086974447,0.06356758547856424,0.060259750050477484,0.05712950073038025,0.054166893827845154,0.0513625751746449,0.04870774238844239,0.046194109802440333,0.043813875850765606,0.04155969271379964,0.039424638053461546,0.037402188671253195,0.03548619594423695,0.03367086290926938,0.03195072286872781,0.03032061940695041,0.02877568771510836,0.027311337128267544,0.02592323479159639,0.024607290371816325,0.023359641741157948,0.02217664156906546,0.02105484475565081,0.019990996650722584,0.018982022005166774,0.018025014603834134,0.017117227537216048,0.016256064066602405,0.015439069044072651,0.014663920852961476,0.013928423832633511,0.013230501157630054,0.012568188140774912,0.01193962593509265,0.011343055607282451,0.010776812559777672,0.010239321280626774,0.009729090399377737,0.009244708030751121,0.008784837388023423,0.008348212649344315,0.007933635062488006,0.007539969272376238,0.0071661398581080405,0.0034055640338626694
1.163005280384594,2.0314834820265837,1.8351027444422188,1.6758121623315991,1.5401553589784944,1.421710220892198,1.3166820858704917,1.222555027073389,1.1375354490045773,1.0602789763438045,0.9897402514967444,0.9250833318974688,0.8656248470140913,0.8107961531652647,0.7601171343519898,0.7131774717901801,0.6696228858552747,0.6291447945875744,0.591472384142002,0.5563664223061108,0.5236143577657334,0.4930263851915329,0.4644322474883013,0.4376786089187264,0.41262687615214755,0.3891513748310772,0.36713781142008817,0.3464819661879509,0.3270885751951575,0.30887036803694357,0.29174723497696686,0.2756455023453467,0.2604972990627165,0.24624000037881255,0.23281573739206002,0.22017096289798688,0.20825606575293232,0.19702502715770334,0.18643511335666058,0.1764466001136568,0.16702252498605505,0.15812846403008451,0.14973233003830438,0.14180418984093915,0.13431609849792234,0.12724194852342718,0.12055733253614377,0.11423941790309654,0.10826683214349858,0.10261955800292714,0.09727883723348509,0.09222708224332066,0.08744779485010913,0.08292549147471436,0.0786456341893494,0.07459456707981071,0.07075945745132248,0.06712824145399064,0.06368957374063237,0.06043278082364242,0.05734781781053705,0.05442522824106111,0.051656106778323094,0.04903206451836878,0.04654519671263059,0.04418805271137553,0.04195360796220776,0.03983523789937605,0.037826693582155894,0.035922078955656155,0.03411582960949191,0.03240269292591143,0.030777709517179237,0.02923619585772393,0.027773728029967627,0.026386126501204327,0.025069441860240797,0.023819941450542722,0.02263409683480918,0.021508572035969713,0.020440212502353367,0.019426034746958466,0.018463216619119018,0.01754908816377093,0.016681123030363336,0.015856930397819876,0.015074247379746919,0.014330931880554102,0.013624955872430308,0.012954399068594118,0.01231744296577164,0.011712365233302154,0.011137534428514248,0.010591405016707398,0.010072512677838921,0.009579469882039874,0.009110961717361058,0.008665741955522414,0.00824262934005926,0.007840504083765394,0.003729152281937761
1.1630052803846218,2.0454209775045835,1.856873381580763,1.703198031526656,1.5717813641783362,1.4566000282990832,1.3540961502377296,1.2619112200783373,1.178363919949432,1.1021939208380775,1.0324210077226534,0.9682610614196882,0.9090727745235325,0.8543221879072029,0.8035581494588901,0.7563947758204007,0.712498575366684,0.6715787730700753,0.6333798950950292,0.5976759859377039,0.5642660293710657,0.5329702733383371,0.5036272445122159,0.4760912967333812,0.4502305781817269,0.4259253307467797,0.4030664558576173,0.3815542960986445,0.36129759321053506,0.3422125913759081,0.32422226114683855,0.30725562427944175,0.2912471634611653,0.2761363039455747,0.26186695642377184,0.24838711231245264,0.23564848417880158,0.2236061851484368,0.21221844216931493,0.20144633881642324,0.19125358392889183,0.18160630294895888,0.1724728492645125,0.1638236332649735,0.1556309670860377,0.14786892331797594,0.14051320618901078,0.1335410338905147,0.1269310309009378,0.1206631292975215,0.11471847816030167,0.10907936029571205,0.10372911556688597,0.09865207021619468,0.09383347163974666,0.08925942811047603,0.08491685301508023,0.08079341321226656,0.07687748115229887,0.07315809045178323,0.06962489462417124,0.06626812870984336,0.06307857357816854,0.06004752268138505,0.057166751070618395,0.054428486495345055,0.0518253824343035,0.049350492903435274,0.04699724890972708,0.044759436434797864,0.042631175831088726,0.04060690253043528,0.03868134897200733,0.03684952766111872,0.03510671528473851,0.033448437805358486,0.03187045646699723,0.030368754655431963,0.028939525550704014,0.027579160521053712,0.026284238209468215,0.025051514265473085,0.023877911684160986,0.022760511709394683,0.021696545265728163,0.020683384888271386,0.019718537115938885,0.018799635320975422,0.017924432945973564,0.017090797125938174,0.01629670266907405,0.015540226375080717,0.014819541672161048,0.01413291355161739,0.013478693783347323,0.012855316395135173,0.012261293399815095,0.011695210757166308,0.011155724555134925,0.010641557397937287,0.0050757474951783
1.1630052803846478,2.058823859807748,1.87791789757252,1.729783295946689,1.6026010304014877,1.490723182683293,1.390814590180128,1.3006648648287258,1.2186983969996668,1.1437340573644477,1.074853096574744,1.0113203758670066,0.9525344245810665,0.8979942107452162,0.8472761534919162,0.800017700978863,0.7559052774365853,0.7146652307332471,0.6760568970165979,0.6398671944146156,0.6059063438900251,0.5740044362223333,0.5440086443125942,0.5157809348629603,0.48919617158911594,0.4641405289250986,0.44051015468200055,0.4182100342312335,0.3971530193557135,0.3772589926708091,0.358454144574977,0.34067034428984794,0.3238445900190343,0.3079185261003033,0.2928380171873979,0.2785527712268793,0.26501600444465656,0.2521841425961981,0.24001655370207203,0.22847530825271972,0.21752496342307379,0.20713236838446947,0.19726648820051965,0.1878982441811828,0.17900036880694087,0.1705472736201878,0.16251492870465292,0.15488075251021657,0.14762351096344312,0.1407232249254057,0.13416108516452072,0.12791937413103519,0.12198139386820199,0.11633139949121814,0.11095453773594022,0.10583679010784641,0.10096492022970836,0.09632642502457202,0.09190948939910915,0.08770294414698293,0.08369622679169585,0.0798793451323665,0.07624284328373235,0.0727777700043442,0.06947564913829135,0.06632845200400668,0.06332857159157666,0.06046879842310639,0.05774229795507273,0.05514258941671525,0.052663525974127275,0.050299276127743875,0.048044306257098025,0.045893364230007096,0.043841464008911354,0.04188387117993909,0.040016089343422725,0.03823384731336633,0.03653308706676901,0.034909952396140344,0.03336077821978774,0.03188208050511142,0.03047054677075846,0.029123027126147363,0.027836525815440043,0.026608193238183333,0.02543531841318903,0.024315321860905206,0.023245748876742446,0.02222426317524634,0.021248640879437376,0.020316764835574132,0.01942661923629366,0.018576284531493625,0.017763932611617687,0.016987822247077445,0.016246294768604706,0.015537769976664234,0.014860742264688665,0.01421377694443776,0.0067977533819186
